ID,Transaction,Date
Tx hash: 9612111d1a295e3b1b99e0a55fccb96e9475956d3cf2fe36fb2214964d257d08,GBCYZ5AIAROWKOIY2AP4XNTS2RSCT6IACBJE6WQ5J5XRWOUHT6WBNECG sent 100 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:38:08 UTC
Tx hash: 70cc457baeb9efcd331915417a0171fc6df7c36bbc69634db08dda2d0013d38f,GAYSYHXYMF4RUR3VQMUTUD3N4NKI2BDYO5UAFC74IOFHSNUN7HPVOTAH sent 2 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:35:38 UTC
Tx hash: 3415c02bf68fb7ced187bc2e08527d5e49e8fba32b59f302e13e6a76a8ededd6,GAJVAOFG4GD4XE2OTFQIB6OTFYCTE5OEGEEMKDAEH3YWH2ZBKV757OFQ sent 5 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:34:24 UTC
Tx hash: 9116bcc08b185780ab97e5351f6b2ae62115982b9560502501987da13fa86407,GDXSOM3VNDHP732QIU3BAC7JRT3REUJP2SVTBMSDGY2KOX4HY62A6F4O sent 25 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:34:13 UTC
Tx hash: c807a016df1018f96757603b6ca826275d4d2d0a9904f1726c7dd83e908b8f29,GCWC5SRZDAFRCW6JEQCDYGPOZZ5MK5UVAFKF7LRWZM46TIEVZ4EWQFXB sent 5 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:28:43 UTC
Tx hash: 7a604b9a7a9e23cfe0dccbec75bd7e22f06b11271adb0a929351783c896aff3f,GDF6F2XKDE6OBTNFUZULKQUZHDDXRMWQUNTRXWG5TPVVEQURVCTIVE6L sent 25 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:27:57 UTC
Tx hash: fa436bf1b7504710a8a71d23f053e02b43ab03035c5001eff295a019d8db0b30,GDO7ROYZ2UGOIOOYFF7YUTYXHE6RCWNJFHYKQYZH6DPEY72G27CLWZWX sent 5 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:26:36 UTC
Tx hash: 983177dee01997131bb5fb89683a9a61da682fce67c4d9ecc15148155a2e87ea,GBW2UXDZRUEAYLWSBEYWUAF2WGWIJAVHCXG7Q6BXW7EMEWZSADZGC2WU sent 10 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:25:39 UTC
Tx hash: 0f7d5faf35104413bcff025c6cfa27e4e3e8f08e70148c0f5b9cdfb2cecd4811,GA3W5FVSLDVZWBNCRDTZJFJVW3E3WFPGA7TJMWUYW3XAIJNFAT3ML4O2 sent 10 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:23:17 UTC
Tx hash: aa4c1210435c3c24f90671eb884b89865376401d8211db044b7f8b849005fd13,GCFKDPOCOJBO6L6RIYUPVSOZ5GS6BJSUYEG7NATQBYVCYSNW54XF336N sent 5 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:22:01 UTC
Tx hash: 8b65a9e7a8f5a8cddb436e58c28c7fce0079143f4473a44369a27ac131d13fe4,GBV6BTPXP7IKDYYAXIK6EPLFQU2HBGYBUEGMP7EPTHFIF2JGUX46FGJK sent 2 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:20:03 UTC
Tx hash: e6e7eea4162dd679428860315f27a63496d177bc1b3bf66e525b1d4e7957694f,GB26TITNESQGWX4ATWKWQM6IKEH52FI2WUL4MDJD5NFU7ADMTPDSYOCF sent 11 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:18:55 UTC
Tx hash: 81c0b78c8398e456ec859042773bc3c38514b0d7263c90a7fefa9db50561a976,GAZOKZCWY2KOMRER7PHAAW53REJVBRFB7D43OSPORNBRDOJYHS6BB755 sent 20 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:16:42 UTC
Tx hash: 2964f1f501df2c9a6a627be354e22de29d847499970d9a2243e84387d3277b59,GDAOPZW2NDBG3H2QKHUUTVM7MYDLYP35PVVD6BHF5AI6UU4SQYDD3FLG sent 13 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:16:13 UTC
Tx hash: 29a4026818519f735e8160ecc6f0c02a3727e66c7648e0826960d0c981537e90,GDCFXKSJGKEUSPWFBSOQ3537G5A6PRA42UWFWZSNGEGQKUQMAMJJI3B5 sent 30 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:15:22 UTC
Tx hash: 9a11bd85da4cd3c54f5584f0fb12bd419025b74faa17b6212827f00ab44e1b85,GCQVOVDCJKXBR4ERJE2WLTHI27YSRGDG2UZZX6GBXIXEWLH7OND4OBKC sent 2 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:15:16 UTC
Tx hash: 99a3e2cc6bc7b87613345c72efc1b1d50ce738af63f04419514b401f4e4ac125,GC73FPQQ3EDNZ6BPNM6GUOTRZ7S6JSDOMZ5DXRAHWTJRWGRMKOFEZBXE sent 5 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:12:46 UTC
Tx hash: 90860ddb1671405796bff7146f965c20234db8f08b41b929d608e7eb4769f071,GA2MO3FRJOBV7AHU2MOWPOFEE2Z2CZH7MTSW6JCTCZSP2HOPWDBKTFJK sent 50 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:12:35 UTC
Tx hash: 5d3f5448484b2abfee48c14259faa9eeea6e4bf9417475508f7e194d98577ac8,GB6JNNBKL5XARBRXJPANFHPYSNBVOBGRBAYWPEJJ3GBFQLSS5JHPBBK5 sent 222 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:11:08 UTC
Tx hash: cc1b76cd27d39c87add6cc0aca3d26b869277ae03631fa0449882eb94d66f8d4,GA6YOP3LNMIN35WQB5SBJODLX3J5GLRFWMIHUB7SO34N7Z2FWQ6Z7XA2 sent 10 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:09:32 UTC
Tx hash: c76acf588ebca9080b087848699e60b643ece76b05244ecbc721425d9e857758,GCRHKXUYZVBOJ2XXI4JYXU2S7HFTQF24K4MBLETX6UR6L4FZ3YJZLQWA sent 100 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:08:51 UTC
Tx hash: b00955d776284e3b49e9182fa6cfce89ed6c646146c47027af55969115e7b209,GA7OK2NMDS6GSEUUCJ4ZYVKU7HRHYC7IEMZYVZGCKP3V763T773CAXFY sent 5 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:06:47 UTC
Tx hash: d750ea9532413e2a5ba883f7dd7150b3dd609ee9ab2728c2a511a070978dd26f,GCW7DSRDQ4FWHSSSO7FSJQKLBL63Z4Q7SFMXNJJ53ONXOU5GVNTKOHBC sent 40 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:06:41 UTC
Tx hash: e317a17fac5744001b2695597410e135e667e94f95aba904b54966973dce537e,GB5IH7UJTBMQW2ZB5YEPW24YU7I7RDMWZZA26TY43VK3NNZ623K7HIYF sent 5 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:06:36 UTC
Tx hash: 130548f2b9f80dd8a89f5bbe1bb199f07d812835a833070edb43ba2e37d7691b,GB3OAZWUFKRAHTGZLCIC7VVQR4ZUGKYZATFCJXDYC3W3YB3YC25LIU67 sent 10 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:06:36 UTC
Tx hash: 62b74cd9e41b8c4c56f21376d257c9993af2897004aafa3c731a60aefaaac7d5,GBYLXJT4PYNRK22CZKWFDGK2ZCUPIKCQ5J4WMCLMXZVACATLL65BDUYL sent 2 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:04:57 UTC
Tx hash: 056b9c53d42690f1a9cd1b11fd9b829219657031c70bd42ea66275f6502f17ab,GCPYBQYVOITVLJPQL3PXDHD6J6UARTI5H4AKWWFEPSGKBDZBYILUG677 sent 3 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:04:45 UTC
Tx hash: e10389fccebd8b32e683a60ce5df7d28882cdf9ef498aa047a6608979ac7c268,GA44YCHNDL2B4WPOX2IWIST6NULJS5AHCRYIHPW33QY3MNGMUMRGCYE2 sent 1 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:02:35 UTC
Tx hash: 789728dc921085e88f3c4ff497f44fb76392a5f797c131d3e74ffb0702a5c8d4,GD72VBINLJQC7N5XZCAISWMGA5VYGQQ2NVZ7YAK2EBDQ6DXGX7SSJ3UM sent 30 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:02:23 UTC
Tx hash: 5e02e7a5d519e900d90d92c39a58490acaf5265bded3213d76c87d6879e617fb,GAU4YRCEM7R62H4ZYMQK3WGHTL4ETVFIY72KYM6PX2X4TV7RVCMOHDM7 sent 111 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:01:18 UTC
Tx hash: 3b3919ad4d17b1f49ce94f4b8b82e4cb3b794d46140cef6c049df7bfc621c835,GAL5G4HMEKX6VVPXLKNTEKYPN7O6TDUT57KCXKDLYPVCWRALRXQU34GD sent 10 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 09:00:50 UTC
Tx hash: 22c4a5946c76ad04a1514e9595d0fe25c5c297a89c214ddd6331f03c62852a67,GBOIGKZ62QFHV5CETDB7ZCXSOAANZIVAL57A7MIRXAOLUJTFY5MWGIBA sent 1 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 08:57:53 UTC
Tx hash: ffbf374e1a686cda2fb81645dd779d751f017bbbec0400542cfe6c53514a0213,GAFDUGV5NVX46CH7UQME7K4G6BDKQGOVTCNSC2QX2BVEG2Z2YCBGDGWQ sent 20 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 08:56:29 UTC
Tx hash: b21973c83c42fa1849ab9f1ad14ad1337f05ed2dd137200a69ac7e80fff9100f,GDAYTBLKDRBY2WHBGAOHXCQZZ5N2T4DB4QADYCGPEBWRNRPJRIRLBKZK sent 1 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 08:54:25 UTC
Tx hash: ef2902831aac0a5b05807a4e638f5bd7cadc16f5a869e0c38b44738f290b11c0,GBSMQ6BFMTWZZ2CZVCG4W7WNI45VTTTJ5UNB7SHQ4K2LY2YDD5TTS2KL sent 20 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 08:51:26 UTC
Tx hash: b68ad197f9beca86aeef26975de0e7badc9f52bfeef2fd0d6f5f42bab0eb9e43,GAV2JRR6SFQ3IMJUGFIUQPBH36AH65CWWLNN34NW2P5RHMVTAOCLFC44 sent 10 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 08:50:28 UTC
Tx hash: e130d7012b53a201e29a53a9db12b7bf7f21a4ed1bcd08e82aeee5afde8ce3eb,GDZ2SUJVNWC7XJLQXSIHJ2AIQETW424J33RNWQXEKU2KET74UF44MWWE sent 1 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: TITANIUM,2025-09-08 08:47:48 UTC
Tx hash: 1228a88c70259e7caa2c2403d826d6e5a769052d180ddbe41555f8605818eff5,GBYS6TBFRQUQ72ZL3EKJTJ5Y6JHOJFMZRJZNC7EP52QWPSRPN45ODOWH sent 7 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 08:47:25 UTC
Tx hash: 2375acc98dba56cc847ba86ee15364a89c58d14727c7f84784852da2a18d46b8,GASDRX5L37KAJXSBXEULDVE5M523FDRY4OUN6VTRAVM7GJ7UJZGT3RZV sent 14 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 08:46:57 UTC
Tx hash: 8f005ec85f01998e3cc34ea1102645a5b3ef9f7ea4f963afe94221f62138bda5,GC7GNLDTXYB67Z3NQXSQNSTV2USINYIEV23WKM2UT7YRWRUP5Z2HQ56R sent 10 XLM to GDQT375JIAXHG6XYY7UBBAAOIDOOJQ2JGLIYQXJVF2XKWNI353ONU5RYMemo: XLMTITANIUM,2025-09-08 08:44:48 UTC
